실험,브랜치,결과,prior_mode,lam_gamma,b_bound,b_min,b_max,run_tag,mse_ls,mse_lq,auc_ls,auc_lq,auc_prior_ls,auc_prior_lq,auc_zprior_ls,auc_zprior_lq,auc_zprior_ls_wavg,auc_zprior_lq_wavg,gain_ls,gain_lq,gain_ls_wavg,gain_lq_wavg,auc_ls_wavg,auc_lq_wavg,auc_prior_ls_wavg,auc_prior_lq_wavg,auc_ls_niigata2004,auc_prior_ls_niigata2004,n_ls,n_lq,n,a_LS,b_LS,a_LQ,b_LQ,gamma_ls_max,gamma_lq_max,sum_gamma2,frac_middle,c_LS,c_LQ
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,[베이스라인] 전부 기저확률,,,,,,0.1344,0.2494231612669476,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
B tied,followup3-area-avg-tied,followup3-area-avg-tied,area-tied,0.0,,,,,0.3852288488576594,0.2791780575323552,0.6180952380952381,0.6769113149847096,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.818348623853211,0.8399598393574298,0.7698132442003763,-0.2228571428571427,-0.1414373088685014,-0.2899122129543817,-0.1109746861373317,0.550047626403048,0.6588385580630446,0.7968643805993205,0.715445570663787,0.34375,0.875,125,229,278,0.5581787799795194,2.385358766854221,0.501338922875385,1.2650235070614286,5.477676914552545,2.870658080717784,108.40800487080764,0.1818181818181818,0.5581787799795194,0.501338922875385
B tied,followup3-area-avg-tied,followup3-area-avg-tied,area-tied,0.1,,,,,0.3785799611455602,0.274523587019388,0.6214285714285714,0.6912079510703365,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.818348623853211,0.8399598393574298,0.7698132442003763,-0.2195238095238094,-0.1271406727828745,-0.2809533003810113,-0.098936583758086,0.5590065389764185,0.6708766604422903,0.7968643805993205,0.715445570663787,0.34375,0.875,125,229,278,0.5609940429696043,2.433241323203553,0.5013803456353946,1.2331816750098028,5.240783373362826,2.6571495214231144,97.5223238509577,0.1973684210526315,0.5609940429696043,0.5013803456353946
B tied,followup3-area-avg-tied,followup3-area-avg-tied,area-tied,1.0,,,,,0.3258078493664762,0.2279806221270202,0.6338095238095238,0.7750764525993884,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.818348623853211,0.8399598393574298,0.7698132442003763,-0.207142857142857,-0.0432721712538226,-0.2585624549479971,-0.0399101028943569,0.5813973844094327,0.7299031413060194,0.7968643805993205,0.715445570663787,0.3125,0.875,125,229,278,0.5371055672727716,2.616578677155968,0.5013949075091612,1.3974696612448554,3.657530857164429,1.8392675410587516,48.74589572942454,0.3014354066985646,0.5371055672727716,0.5013949075091612
B tied,followup3-area-avg-tied,followup3-area-avg-tied,area-tied,10.0,,,,,0.2147855366271819,0.2529894925057961,0.8276190476190477,0.8301223241590213,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.818348623853211,0.8399598393574298,0.7698132442003763,-0.0133333333333331,0.0117737003058102,-0.0195345484502112,0.0172880931617245,0.8204252909072185,0.7871013373621009,0.7968643805993205,0.715445570663787,0.875,0.875,125,229,278,0.8890630358122407,4.913802665460381,0.5042456068699199,0.8037535238086804,0.7188832407900256,0.8965000186042245,4.610856405076238,0.534688995215311,0.8890630358122407,0.5042456068699199
B tied,followup3-area-avg-tied,followup3-area-avg-tied,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
B tied,followup3-area-avg-tied,followup3-area-avg-tied,[베이스라인] 전부 기저확률,,,,,,0.1344,0.2494231612669476,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,area-bounded,0.0,,,,,0.3549277394078666,0.2730707760960348,0.6585714285714286,0.6925840978593273,0.7485714285714286,0.7485474006116207,0.8347619047619048,0.8081804281345566,0.8221089486149726,0.7692515559956365,-0.1761904761904762,-0.1155963302752293,-0.2254633920296569,-0.122431060812795,0.5966455565853157,0.6468204951828415,0.7968643805993205,0.715445570663787,0.375,0.875,125,229,278,1.384324650383823,7.356739411876024,0.5022309853493312,1.0545653955516023,5.465531627638769,2.9268825684542605,105.28327579494176,0.1770334928229665,1.0,1.0
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,area-bounded,0.1,,,,,0.3496457174722884,0.2691245691608137,0.6599999999999999,0.7047400611620795,0.7485714285714286,0.7485474006116207,0.8342857142857143,0.8081804281345566,0.8221089486149726,0.7692515559956365,-0.1742857142857143,-0.103440366972477,-0.2143625785192049,-0.1149335669692901,0.6077463700957677,0.6543179890263464,0.7968643805993205,0.715445570663787,0.375,0.875,125,229,278,1.3923128416320272,7.437061130244473,0.5023869941018121,1.0251930693213716,5.231535705463177,2.734087353171044,95.45882749084934,0.1782296650717703,1.0,1.0
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,area-bounded,1.0,,,,,0.3144841240441869,0.2731695580201327,0.6847619047619047,0.7634556574923547,0.7485714285714286,0.7485474006116207,0.8338095238095238,0.808256880733945,0.8221089486149726,0.7692515559956365,-0.1490476190476191,-0.0448012232415903,-0.1943363196375243,-0.0645605404256269,0.6277726289774483,0.7046910155700096,0.7968643805993205,0.715445570663787,0.375,0.875,125,229,278,1.4329246326627734,7.949131988480765,0.5029143871285202,0.769935276323146,3.6434006055798656,1.7876477370286303,46.059144743179104,0.2440191387559808,1.0,1.0
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,area-bounded,10.0,,,,,0.256347104280172,0.2506867966278058,0.7947619047619048,0.8159785932721714,0.7485714285714286,0.7485474006116207,0.8185714285714286,0.8087920489296636,0.8162676346411286,0.7708815568191858,-0.0238095238095238,0.0071865443425077,-0.0131809288435794,0.0103694616853596,0.8030867057975491,0.7812510185045455,0.7968643805993205,0.715445570663787,0.9375,0.875,125,229,278,1.9766451434571248,11.063044786600129,0.5076031407489251,0.8302828512779357,0.647290664057482,0.9275298251803364,4.564395536850105,0.3839712918660287,1.0,1.0
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,[베이스라인] 전부 기저확률,,,,,,0.1344,0.2494231612669476,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
D free,followup3-area-avg-free,followup3-area-avg-free,area-free,0.0,,,,,0.3520225669353434,0.2619270129095942,0.594047619047619,0.7175840978593272,0.7485714285714286,0.7485474006116207,0.749047619047619,0.8127675840978594,0.7968643805993205,0.7719547539753323,-0.1549999999999999,-0.0951834862385322,-0.24616671815467,-0.0705833844112158,0.5506976624446505,0.7013713695641165,0.7968643805993205,0.715445570663787,0.25,0.875,125,229,278,1.2031207742931278,6.722521368909327,0.5013670049300787,1.2473936569440482,5.2857399235820495,2.626938933709033,96.6252504020928,0.1782296650717703,0.0026532965668112,0.3801218494154196
D free,followup3-area-avg-free,followup3-area-avg-free,area-free,0.1,,,,,0.3528718146624727,0.2618869157942946,0.6052380952380952,0.727599388379205,0.7485714285714286,0.7485474006116207,0.749047619047619,0.8048165137614679,0.7968643805993205,0.7683455882508295,-0.1438095238095237,-0.0772171253822628,-0.2374008855936568,-0.0655810258076691,0.5594634950056637,0.7027645624431604,0.7968643805993205,0.715445570663787,0.25,0.875,125,229,278,1.2279470015837748,6.894626725447463,0.501414039435882,1.2125986651828988,5.014830965140207,2.5462202766545667,86.44395798751776,0.1830143540669856,0.0026497263096186,0.2961121911278501
D free,followup3-area-avg-free,followup3-area-avg-free,area-free,1.0,,,,,0.3396646667846773,0.2285893294726295,0.6223809523809524,0.7754587155963303,0.7485714285714286,0.7485474006116207,0.749047619047619,0.8180428134556575,0.7968643805993205,0.766246176511124,-0.1266666666666666,-0.0425840978593272,-0.2162702090412935,-0.0411388787477513,0.580594171558027,0.7251072977633727,0.7968643805993205,0.715445570663787,0.25,0.875,125,229,278,1.1785111735490037,6.708199021541613,0.5015308638769153,1.3973147715311072,3.807442137152418,1.925048007509596,51.67322527541185,0.25,0.002538667574779,0.5053742517008675
